,Restaurant Name,Ratings,No of Reviews,Review URL,Image URL
62,Route 1 Bar & Grill,4.5,82,http://www.tripadvisor.com/Restaurant_Review-g293917-d10520924-Reviews-Route_1_Bar_Grill-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0c/ea/24/9c/bbq-pork-ribs.jpg
63,Latitude 18 + Le Meridien Hub™,5,53,http://www.tripadvisor.com/Restaurant_Review-g293917-d10274527-Reviews-Latitude_18_Le_Meridien_Hub-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0c/8f/eb/9f/latitude-18-bar.jpg
64,Corner Bistro,4.5,342,http://www.tripadvisor.com/Restaurant_Review-g293917-d7128629-Reviews-Corner_Bistro-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0f/74/22/ef/dried-chili.jpg
65,Ohkajhu Farm,4.5,186,http://www.tripadvisor.com/Restaurant_Review-g293917-d8797414-Reviews-Ohkajhu_Farm-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/10/0d/8c/3c/photo0jpg.jpg
66,Taj Mahal Indian Restaurant,4.5,375,http://www.tripadvisor.com/Restaurant_Review-g293917-d3853569-Reviews-Taj_Mahal_Indian_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/03/f1/80/8f/taj-mahal.jpg
67,Musashi Contemporary Sushi Bar,4.5,217,http://www.tripadvisor.com/Restaurant_Review-g293917-d6159112-Reviews-Musashi_Contemporary_Sushi_Bar-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0f/e9/d8/9f/caption.jpg
68,Khaomao-Khaofang Restaurant,4.5,298,http://www.tripadvisor.com/Restaurant_Review-g293917-d2659338-Reviews-Khaomao_Khaofang_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/0a/ea/95/25/khaomao-khaofang-restaurant.jpg
69,Free Bird Cafe,4.5,370,http://www.tripadvisor.com/Restaurant_Review-g293917-d1821390-Reviews-Free_Bird_Cafe-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/05/1e/79/b5/free-bird-cafe.jpg
70,SnoozeChiangmai,5,36,http://www.tripadvisor.com/Restaurant_Review-g293917-d12360541-Reviews-SnoozeChiangmai-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0f/0c/47/1a/getlstd-property-photo.jpg
71,Accha Indian Restaurant & Bar,4.5,240,http://www.tripadvisor.com/Restaurant_Review-g293917-d6975913-Reviews-Accha_Indian_Restaurant_Bar-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0e/4d/7e/1c/photo0jpg.jpg
72,Nun's Restaurant (Som Tam Soi 5),5,66,http://www.tripadvisor.com/Restaurant_Review-g293917-d7709846-Reviews-Nun_s_Restaurant_Som_Tam_Soi_5-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/07/e3/73/87/somtumsoi5.jpg
73,The Salsa Kitchen - Huay Kaew,4,430,http://www.tripadvisor.com/Restaurant_Review-g293917-d942130-Reviews-The_Salsa_Kitchen_Huay_Kaew-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/07/33/69/6c/salsa-kitchen.jpg
74,Archer's,4.5,290,http://www.tripadvisor.com/Restaurant_Review-g293917-d1556900-Reviews-Archer_s-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/06/91/85/3b/archer-s.jpg
75,Zion Cafe,4.5,189,http://www.tripadvisor.com/Restaurant_Review-g293917-d4699722-Reviews-Zion_Cafe-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/08/99/1c/17/zion-cafe.jpg
76,Colour bar garden,4.5,259,http://www.tripadvisor.com/Restaurant_Review-g293917-d5483415-Reviews-Colour_bar_garden-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/05/0d/64/0e/colour-bar-garden.jpg
